Position,Waitlist ID,SR #,Instructions
1,07031977AB,18001893,
2,04301969SG,18000264,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
3,06211967RC,18118951,
4,12071975RS,18154663,
5,12101971PS,18156719,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
6,01011972MD,18163056,
7,07051963GA,18178442,
8,03161955JF,18190075,
9,07031957IP,18194636,
10,07051967GM,18199179,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
11,11171956CJ,18198916,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
12,05012025CF,18199686,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
13,05142001JP,18209436,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
14,12291968ZS,18215768,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
15,02251983KF,18221832,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
16,07041989SW,18227383,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
17,03271970ME,18226525,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
18,11111991EL,18224346,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
19,08301960BP,18226791,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
20,10101990ML,18224716,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
21,09241949JE,18224642,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
22,09031990MB,18224314,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
23,05102000AH,18229538,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
24,05091987SG,18230490,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
25,04171984AA,18228664,
26,08081972RL,18229998,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
27,11141972LM,18228288,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
28,09102000EM,18233401,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
29,06061988AP,18234566,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
30,10111996TH,18232014,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
31,03012003AN,18233551,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
32,09081987DR,18231640,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
33,01221993JA,18234126,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
34,06121978AA,18233930,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
35,03072005DM,18233939,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
36,08201999TS,18234426,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
37,02281981EP,18233034,
38,11101981BB,18234733,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
39,06111989AA,18234202,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
40,05111957RG,18234419,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
41,12061988DR,18233658,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
42,10031991CM,18233618,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
43,05141970WJ,18235489,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
44,04151968GW,18233170,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
45,07132003MM,18233920,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
46,08021971MT,18234336,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
47,09081958SS,18235749,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
48,09241995HA,18238435,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
49,09271985IN,18237671,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
50,07201983JC,18238651,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
51,07201973PH,18239591,
52,04191982SR,18243796,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
53,10172004AK,18245112,
54,04201960MV,18243709,
55,04261962BM,18243144,
56,07291976JG,18243682,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
57,06121977MB,18244941,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
58,10021989CH,18242271,
59,03081984RC,18243804,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
60,02191984DD,18245064,
61,06131985MH,18245255,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
62,07311962JG,18242705,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
63,06161988MC,18242339,
64,12071988LO,18244558,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
65,07081993JR,18243537,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
66,09301995CB,18241835,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
67,03111966SS,18243153,
68,09041981WW,18244065,
69,06241973LS,18244440,
70,01142001DJ,18244208,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
71,08091997LG,18244215,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
72,06261987FZ,18249636,
73,12151976SD,18247510,
74,08051947KH,18247965,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
75,08271999KM,18248941,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
76,09281995MB,18247136,
77,01091988GP,18248462,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
78,11171992AU,18249594,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
79,12311997JG,18248513,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
80,02081998MG,18246173,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
81,10211997TJ,18247948,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
82,02052000CJ,18246187,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
83,05221978TW,18249618,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
84,12111949MS,18248063,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
85,06031991KW,18246632,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
86,01181990MJ,18247096,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
87,11271970AS,18248067,
88,06071985MD,18247903,
89,03241967TL,18246286,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
90,11192001FV,18247761,"Please call 628-652-8000 option 4 between 10AM and 12PM on business days (Monday – Friday, excluding holidays)."
91,10121948JD,18247503,
